year,type,sentence1,sentence2,similarity_score
2015,belief,"sorry, agw has been proven.",agw has not been proven.,1.8
2012,surprise.OnWN,"take vows, join or allow to join a religious order","take vows, as in religious order.",4.5
2012,MSRpar,But skeptics are concerned about the ease with which vendors can use these hardware-based security features to set digital rights management policies.,But skeptics are concerned about the ease at which these hardware-based security features could be used to set digital rights management policies by vendors.,5
2015,answers-students,the terminals are separated from the positive battery terminal by a gap,Terminals 1 and 2 are in the same electrical state,
2015,images,A group of men walk and hang onto ropes.,A group of men play a college football game.,1.4
2012,surprise.OnWN,beat (as if) with a whip or rod,strike as if by whipping.,4
2015,images,A man and a small girl floating on an innertube.,A young girl wearing a bikini in an inner tube.,
2015,headlines,Liquid ammonia leak kills 15 in Shanghai,Ammonia leak kills 15 in Shanghai,
2012,MSRpar,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.",3.25
2012,surprise.SMTnews,Today's great Pax Europa and today's pan-European prosperity depend on this.,"The large Europa Pax today, just as the current pan-European prosperity, depends on it.",5
2014,deft-forum,Stone notified Captain Lord.,He too notified Captain Lord.,3.4
2014,headlines,Tropical Storm Andrea zipping up the East Coast,Tropical Storm Andrea to slide up East Coast,4
2014,tweet-news,Following #Colorado #marijuana legal decisions closely. Maybe some lessons for CA dispensaries mess,Op-Ed Columnist: Colorado?s Marijuana Muddle,2
2015,answers-students,The battery is in the closed path,the bulb and the battery are in a closed path,
2014,tweet-news,Chim: A Vivid Retrospective of Post War Europe  #photography,Chim: A Vivid Retrospective of Europe,3.6
2014,deft-news,the international atomic energy agency reached an agreement with iranian officials that stated there were no remaining issues and ambiguities regarding iran's nuclear program and activities. ,the accord said that there were no remaining issues and ambiguities regarding iran's nuclear program and activities.,3.4
2014,tweet-news,"Is Studio 54 like the '60s- if u can remember it, u weren't really there? Selling Some Old Sparkle Fr Studio 54:",Studio 54 Memorabilia to be Sold at Auction,2.6
2016,question-question,How can I get my colleagues to stop interrupting me?,How can I get my colleague to stop calling me over to his desk when he wants my help?,4
2012,MSRvid,A man is slicing a carrot by a machine.,A man is standing in the rain.,0.4
2012,MSRpar,"KEDO Spokesman, Roland Tricot said: ""The executive board decided to refer this question to capitals.","""The executive board decided to refer this to the capitals,"" the Korean Energy Development Organization said.",4
2015,answers-forums,Gravitational lensing is the effect that large amounts of gravity have on the path of light.,One star passes in front of another from our perspective.,
2015,images,A black dog asleep in a car.,A black and tan dog sleeps in the car.,
2012,SMTeuroparl,"Finally, in a word, the fourth pillar devoted to equal opportunities reinforces the integrated approach to equality through gender mainstreaming and through specific guidelines.","Finally, in a word, the fourth pillar dedicated to equal opportunities reinforces the integrated approach to equality by gender mainstreaming and specific guidelines.",5
2015,images,A dog runs on brown grass.,A wet dog runs through the yellow grass holding a tennis ball.,2.2
2012,surprise.OnWN,a caress with the lips,the act of caressing with the lips (or an instance thereof).,3.75
2012,MSRvid,A man is cutting up a cucumber.,A man is slicing a cucumber.,4.2
2015,images,a person standing in the middle of a bunch of snowy rocks near a waterhole.,A person stands in a vast field of glacial ice.,
2015,answers-forums,For me it works quite well to try to estimate a daily budget for a given country/region.,This has been reduced to an art form by Paul TerHorst and his wife Vicki.,
2013,OnWN,the act of advocating or promoting something,the act of affirming or asserting or stating something.,2.2
2012,MSRpar,"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Allegiant's stock closed Wednesday at $23.40, up 64 cents, in trading on the Nasdaq market.",2
2015,images,A snowboarder goes down a ramp.,A snowboarder going over a ramp.,
2015,answers-forums,"Break the bulb into cloves, breaking off the bottom and the dry stick that goes up the middle.",lay down a knife horizontaly on the cloves and hit it.,1.6
2015,belief,"they are not made up of the usual zombietime bums, college students or acorn bussed in hacks and seiu union thugs or commie funded answer geeks.","they would retain all of their chinese, korean and other possessions and we would return their home island captures.",0.6
2012,MSRvid,A man is climbing a rope.,A man is sitting on a rock.,0.25
2014,deft-news,anatoly sokolov announced-- soviet-built a-135 missile defense system around moscow is obsolete and inefficient. ,soviet-built a-135 missile defense system around moscow is obsolete and inefficient.,4.6
2012,MSRvid,A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,5
2016,question-question,Should I switch to third person or continue in first person?,Should I write my biography in the first or third person?,3
2015,belief,when are the pigs going to realize that the shit they are handing out will be shoved straight back in their faces?,perhaps they are starting to realize that the president isn't a cure-all for a damaged economy.,
2015,images,Three children playing on rocks near a lake,Three men playing baseball.,
2015,answers-forums,"The Silk Way was not a single road, but rather a net of roads.",My family came from Western Ukraine and my grandfather attended University in Chernotsy and Vienna.,
2015,belief,until i know the facts i won't make a decision.,now here's a decent post worth reading.,
2013,headlines,7 dead in Christian school shooting,5 wounded in Ohio school shooting,1.4
2015,images,A man and a woman laughing.,A man and a woman kiss.,1.2
2012,SMTeuroparl,Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.,Those who refuse closer cooperation to enjoy the same freedom of movement that passengers in the back seat of a car.,4
2012,surprise.OnWN,A quantity of something,a quantity of money.,2.25
2012,SMTeuroparl,"Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.",Unfortunately the final objective of a European Constitution would be exactly the opposite and obviously we cannot approve it.,4.8
2014,deft-forum,Florida The ignorance is yours!,The ignorance is yours!,3.4
2015,belief,don't ask for help from internet forums on such important issues.,and the idea was to help people connect with volunteer opportunities.,
2015,answers-students,A closed path with a battery and bulb,there is a closed path containing both the bulb and a battery,5
2015,answers-forums,"Further to my comment above, it seems the OP is looking for questions to ask.","This tree is large, of significant caliper and in a tight spot.",
2012,MSRpar,"A seventh victim, a woman, died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.","A seventh person, a 21-year-old woman, was in critical condition in the burn unit at Akron Children's Hospital.",2.4
2015,belief,"ah well, at least it proves that we don't agree with corporal punishment.","all of the reasons that we left madison are catching up with us, sadly.",
2015,images,A man is holding a very long leash attached to a very large dog who is smelling the grass.,A man holds a long leash with a large gray dog attached to it.,
2015,images,A black dog jumps through the water.,A dog walks through the snow.,2.4
2015,answers-forums,German event organizer Jochen Schweizer offers flying a MiG 29 in Nizhniy Novgorod for 14.5k EUR.,"adrenalin.com.au  has some offers for Australia, and you have the choice between a L-39 fighter jet and a A37B ex-military jet.",
2015,answers-forums,Reading list As @Jeff has mentioned Tom Griffiths has several useful resources.,"In the fairly recent book ""The Cambridge Handbook of Computational Psychology"", chapter three is devoted to bayesian modeling.",
2015,headlines,Russian Prime Minister On Second Day Of Crimea Visit,Russia warns against setting preconditions for Syria,0.8
2015,images,The small boy is sliding down a pool slide and is about to hit the water.,A small boy in waterwings and a bathing suit slides down a water slide.,
2013,OnWN,resist immunologically foreign tissue or organ,resist immunologically the introduction of some foreign tissue or organ.,4.2
2014,headlines,Bomb blast kills 10 in southwest Pakistan,Major quake kills 39 in Pakistan,1
2015,answers-forums,"If you're stressed out, take a week off, of course.","What I really would recommend is to change your routine, if you have followed the same for 2 years.",
2015,belief,she is so sensitive that even if i don,t eat dinner she gets in a mood and takes it personally!,there's two entities that have zero interest in keeping obama in the white house.
2012,MSRvid,A man is making a bed.,A woman is playing a guitar.,0
2015,belief,am i obliged to inform them regardless?,how did you get in the camp?,
2015,answers-students,Bulbs A and C were still on closed paths with the battery,Bulbs A and C are still contained in closed paths with the battery,4.33
2015,belief,"in your own mind, maybe, outside of it, the word may take on a different meaning.","my brother is an alcoholic, with 2 daughters from 2 different marriages.",
2012,SMTeuroparl,Van Orden Report (A5-0241/2000),Van Orden report (A5-0241 / 2000),5
2012,MSRpar,Glover spoke at a news conference that included about 20 relatives of the victims.,About 20 family members of the victims were invited to the news conference.,3.2
2016,answer-answer,I don't think that there's any.,I don't think there are any benefits.,3
2014,headlines,"Philippines, rebels reach wealth-sharing deal",Philippines and rebels reach 'wealth deal',5
2015,answers-forums,"You would think they wouldn't include a blatant violation, but they did.",Lebron haters need to forget about your biased hatred for a minute here.,
2013,OnWN,raise or haul up as if with a mechanism,affect with or as if with a cramp.,0.8
2012,MSRvid,A man with glasses is talking.,A man in a library is talking.,3.25
2015,headlines,Somalia gang rape victim speaks out,Somalia gang rape victim accuses AU force,
2012,MSRvid,The person is starting a fire.,A person makes fire.,5
2014,OnWN,the act of forecasting or predicting something,the act of starting something.,0.4
2015,belief,(or seem to by not just saying it doesn't.),"sorry, you just don't.",
2013,headlines,Iraq Releases Suspected Hezbollah Operative Wanted By U.S.,Iraq Said to Release Hezbollah Operative,3.2
2014,headlines,ISAF soldier killed in Afghan 'insider attack',British soldier shot dead in Afghan ‘insider attack’,4
2014,deft-forum,Iran is also a signed of the NPT and the IAEA.,"Gotta love the EK factoid that ""Iran is also a signed of the NPT and the IAEA.",4.2
2015,answers-forums,"Personally, I just guess, take a shot and look at my histogram and tweak as needed.","Its not linear, its a square,  so if you double the distance, you need 4 times the light.",
2015,images,A group of four children dancing in a backyard.,A group of children do stretches on colored mats.,1.6
2015,images,The white dog has a ball in its mouth.,The black and white dog has a ball in its mouth.,
2015,belief,and stop worrying about it...,i hope it works out in the end...,0.91
2016,question-question,Why isn't the switch working to turn off my ceiling lamp after I replaced a fan w/light?,Why does my ceiling fan turn off when I turn on the lights?,4
2013,FNWN,a customer requests an entity from a supplier. the customer can order the entity himself or via a medium.,"a request for something to be made, supplied, or served;",2.4
2015,belief,"where were the ""tea partiers"" in late '08!!!!?????",but where were the public tea parties!!!!!!!!!??????,
2012,surprise.SMTnews,Each side had quite different theories and explanations of what was going on.,Every originator had theories and explanations appreciably different on the situation.,4.75
2014,OnWN,the act of forecasting or predicting something,the act of decreasing or reducing something.,0.6
2014,deft-news,dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s. ,a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.,2.6
2015,belief,"where were the ""tea partiers"" in late '08!!!!?????",but where were the public tea parties!!!!!!!!!??????,2.47
2012,SMTeuroparl,There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.,A budget line financing demining and prevention programmes for years.,4
2013,headlines,Syrian forces overrun rebel stronghold,Syria army takes northern rebel stronghold,4
2015,images,A tan dog runs through the snow.,A white dog is running through the snow.,
2015,answers-students,all have the same voltage reading,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",
2014,deft-forum,Put a Little Love in your Heart We are all vessels filled with many wonders.,Landon And So This is Christmas We are all vessels filled with many wonders.,2.8
2014,deft-news,abuja is the capital of ,tskhinvali is the capital of georgia.,0.8
2015,belief,and besides they do update their platform.,i will do so with my daughter this year...,0
2012,MSRvid,A woman is braiding her hair.,A man is riding a motorcycle.,0
2014,deft-forum,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",1.8
2012,surprise.OnWN,Fine powdery material, the remains of something destroyed or broken up.,the remains of something that has been destroyed or broken up.
2015,answers-students,there is not a terminal connected to the positive path of the battery,the battery is in an open path,1.4
2015,headlines,Germany Summons US Envoy Over Alleged NSA Spying,Germany Summons U.S. Envoy over Merkel Phone Spy Claims,
2012,surprise.OnWN,Provide or equip specifically with furniture.,provide or equip with furniture.,4.75
2012,surprise.OnWN,a natural physical force of drawing towards something,the force used in pulling.,2.75
2012,SMTeuroparl,It increases the power of the big countries at the expense of the small countries.,This is to increase the power of the large countries at the expense of small.,5
2016,plagiarism,In the vector space model a document is represented as a vector.,A possible use for a vector space model is for retrieval and filtering of information.,1
2015,headlines,Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,3.2
2013,OnWN,the act of preserving or protecting something,the act of raising something.,0.8
2012,SMTeuroparl,But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.,"However, I would like to say to the House this afternoon that we must not lose sight of the fact that the European Union is spending that 1% of GDP in the Member States and that most of this money is managed in the Member States.",5
2013,OnWN,the act of pulling an object,the act of choosing or selecting.,0.8
2013,OnWN,The act of moving in a hurried manner.,the act of moving hurriedly and in a careless manner.,3.6
2013,headlines,Sarkozy announces re-election bid,France's Nicolas Sarkozy makes his reelection bid official,4.2
2015,headlines,Egypt orders arrest of Brotherhood chief Badie,Egypt arrests Muslim Brotherhood leader Badie,
2013,OnWN,"the act of escaping, fleeing",the act of retaining something.,0.4
2012,surprise.OnWN,incite some act of insubordination,"incite, move, or persuade to some act of lawlessness or insubordination.",4
2014,deft-forum,Scenario A assumes that the CO growth rate accelerates by .%/yr.,It assumes that methane growth rate accelerates by .%/yr.,1.75
2015,images,A black dog with a red collar sitting in the sand.,A black and white dog is biting onto a stick in the water.,
2012,SMTeuroparl,"These objectives, the main one and the secondary ones, will be the touchstone by which the concrete proposals submitted by the Commission must be judged.","These objectives, the objective of primary and secondary objectives, the cornerstone of allowing us to judge the concrete proposals by the Commission.  ",4.6
2012,MSRpar,"""We had nothing to do with @Stake's internal personnel decision,"" Microsoft spokesman Sean Sundwell said.","""Microsoft had absolutely nothing to do with AtStake's internal personnel decision,"" Sundwall said.",4.2
2015,belief,i have lost many gay friends in the 80's and 90's.,i have also just realised my wife is now in the exact same situation.,
2015,headlines,"What the Papers Say, Aug. 19, 2013","What the Papers Say, Dec. 30, 2013",2.67
2013,OnWN,be located at or on top of something,make a film or photograph of something.,0
2012,SMTeuroparl,I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.,"I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights in the future Treaty, which will be adopted in Nice.",4.4
2016,answer-answer,The answer to both questions is: Yes.,"If the answer to any of these questions is yes, a PhD may be worthwhile for you.",3
2015,headlines,Thousands rally to support embattled Tunisia government,Thousands gather to support Islamist government in Tunisia,4.6
2015,answers-students,different paths with the battery,B and C are in the same path with the battery,1.4
2015,belief,in this case i think that is beyond ceasar's bounds.,no it's just that people like you can't be honest.,
2015,images,Three boys playing soccer in a field,Three boys playing soccer.,
2015,headlines,10 Things to Know-Today,10 Things to Know for Tuesday,
2012,MSRpar,Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.,"Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.",1.75
2015,headlines,Obama calls for calm after Zimmerman acquittal in Martin case,Obama calls for calm after Zimmerman acquittal, protests held
2015,headlines,Snowden Hits Hurdles in Search for Asylum,Snowden's hits hurdles in search for asylum,5
2012,MSRvid,A woman is slicing tomato.,A man is slicing onion.,1.6
2014,deft-forum,Religion that does that I have a problem with.,Irreligion that doesn't do that I don't have a problem with.,1.4
2012,surprise.OnWN,"enjoy, be fond of or approve",be fond of.,3
2015,headlines,Libya asks UN Security Council for help,Kerry Calls On UN Security Council to Act on Syria,2.4
2015,answers-students,"a large one, if it is closed it will light up but if it is open it will not",If a bulb and a switch are in the same path the switch affects the bulb,0.8
2014,deft-news,an indian government official stated that india does not attach much credence to reports by amnesty international. ,one indian government official who studied the blueprints stated the science was old and dated but still functional.,1.4
2012,MSRvid,A man is playing a flute in a band.,A man is playing a guitar.,1.6
2015,answers-forums,It is the immune system that is responsible for inflammatory responses.,Getting proper nutrients is essential to maintaining a healthy immune system.,
Err:510,,,,
2015,images,A small boy playing in the snow.,Two dogs playing in the snow.,
2012,SMTeuroparl,"As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.","We need to know today, since we are still in uncertainty, what are the scientific data, what measures are to be taken.",4.4
2014,deft-forum,"Originally Posted by spikdboy Not wishful thinking, rather realistic.","Originally Posted by objectivism Not wishful thinking, rather realistic.",3.8
2015,images,"Little girl and older male, holding hands and walking on train tracks.",The little girl in the blue dress is walking with a man along a railway track.,
2015,answers-students,the positive battery terminal and terminal 1 are not connected,Terminal 1 and the positive terminal are not connected,5
2012,MSRpar,"On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.",1.6
2014,OnWN,"Move or cause to move with a sudden, jerky movement.",move or cause to move with a sudden jerky motion.,5
2015,answers-forums,The best approach is play with your cat each night in the evening before bedtime.,A trick I did was to grab and hold my cats close if they disturbed me during the night.,2.4
2014,deft-forum,We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.,3.6
2016,headlines,7.3 magnitude earthquake strikes Nepal,6.6-magnitude earthquake strikes off Indonesia,1
2015,headlines,Hassan Rouhani wins Iran's presidential election,Maduro wins Venezuelan presidential vote,0.2
2015,answers-students,"""Well, it will have a voltage of zero, if that""""s what you are asking.""",A battery uses a chemical reaction to maintain different electrical states at the terminals,
2012,MSRvid,A woman is slicing some tomatoes.,A woman is chopping a potato.,1.4
2015,answers-forums,The Metropolitan Museum of Art in New York has a great page on this exact topic.,There is yet another reason why the male nude was common in Greece.,
2015,answers-students,the path has to be closed for the bulb to light up,If a bulb and a switch are in the same path the switch affects the bulb,2
2015,answers-students,Because it was still connected to the battery terminal.,Bulb A is still contained in a closed path with the battery.,1.6
2016,question-question,Would a Colombian citizen with Canadian residency need a transit visa for the UK?,Will I Need a Transit visa or ESTA for the US as a Canadian?,1
2012,SMTeuroparl,"I should like to thank the rapporteur of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, Mr Brok, for his clear, comprehensive report.","I thank the rapporteur for the Committee on Foreign Affairs, Mr Brok, for his clear and comprehensive report.",3.8
2012,MSRvid,The boy is riding a tricycle.,A woman is riding a water scooter.,1.25
2012,surprise.OnWN,An authoritative text or the corresponding citation.,a short note recognizing a source of information or of a quoted passage.,3.75
2012,SMTeuroparl,There must be a balance as a whole.,The body must be in balance.,4
2015,headlines,Soccer Ref Punched by Player Dies,Police: Utah soccer referee punched by player dies,4.2
2015,images,A man is going between two red flag markers on a dirt bike.,The man waeribng a helmet is riding a dirt bike over rocks.,
2012,MSRvid,A woman holds a kangaroo.,A woman is picking up a kangaroo.,3.25
2014,headlines,Indian police round up all five suspects in Mumbai rape case,Mumbai police arrest fifth suspect in gang-rape case,3.8
2015,images,a lone snowboarder in the middle of a snowy gust,A snowboarder is throwing up snow as he rides his board.,
2015,answers-forums,"Certainly many usage guides have advised against use of this ""singular they"" on various ""logical"" grounds.","Second one  (for writing purpose), if I believe the ""THEY/THEIR (SINGULAR)"" article.",3
2016,question-question,What could be wrong with my furnace?,What is wrong with my gas furnace?,4
2012,MSRpar,"So far, Georgia has been returned all but $70,000 of the money it wired.","Georgia has received all but $70,000 of its money back with the help of the FBI.",3.75
2016,question-question,How can I replace a ceiling fan light pull chain?,How can I replace a ceiling fan with a regular light fixture?,1
2013,headlines,Sarkozy to File Complaint in Gadhafi Funding Claim,Sarkozy to sue after Gaddafi cash claim bursts into campaign,3.6
2015,belief,the answer is absolutely.,the ones with other symbols succeeded.,
2013,OnWN,"lessen in force, impact, or effect",lessen in force or effect.,4.6
2016,headlines,The end of the Hong Kong protests?,UK 'concern' over Hong Kong protests,2
2016,answer-answer,You are not disclosing key info.,No you are not.,2
2015,answers-forums,I have found there is no single best way to increase size.,There are a very wide variety of solutions for resizing and sharpening images for use on the web.,2.6
2015,headlines,President mourns death of Mandela,World mourns passing of Mandela,3.4
2015,answers-forums,I agree with the advice already given as regards outdoor plants.,"Although some doubt was cast on it in an earlier question, there is the concept of ""scorching"".",
2013,OnWN,whip with or as if with a whisk,urge with or as if with a goad.,0
2013,OnWN,the activity of examining or assessing something,the activity of protecting someone or something.,0
2015,images,People sitting on a couch laugh.,Four happy people sitting on a red couch,
2015,belief,don't tell me you didn't know that this was coming up.,i don't even know if they will know if he has passed away or not..,
2012,MSRvid,A man is cutting a potato.,A woman is climbing a rock wall.,0
2012,MSRvid,A plane rides on a road.,An airplane moves along a runway.,2.812
2012,MSRpar,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,4.5
2015,answers-students,"the closed path contains bulb A, bulb B, bulb C, and a battery.",A and C are in the same closed path,
2015,headlines,"Iran, sextet to resume expert talks",Iran upbeat on 'useful' expert-level nuke talks,1.6
2015,answers-forums,"If you want size, you don't want to rest very long - perhaps under a minute between sets.","If you are looking to build mass, you should rest 45-60 seconds between sets of 8-12 repetitions for optimal gains.",
2015,headlines,'One unaccounted for' in San Francisco plane crash,Two killed in San Francisco plane crash 'were Chinese',
2014,OnWN,remove to or from a place or situation,remove or force out from a position.,2.8
2012,SMTeuroparl,"Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.","Mister Preside over it, the relation Cashman can amount in some words: the power of the citizens on the bureaucracy.",4.75
2015,headlines,"Philippines typhoon death toll at 4,460: UN","Philippines typhoon death toll rises above 5,000",3.4
2014,headlines,Iranian exiles report deaths in Iraq camp,At least 47 Iranian exiles killed at Iraq's Camp Ashraf,3
2015,headlines,Philippine quake death toll climbs to 73,Death toll in Philippines quake jumps to 85,2.8
2013,headlines,6.0-magnitude quake hits northern Italy: USGS,"5.9-magnitude quake hits Sunda Strait, Indonesia: USGS",1.6
2015,answers-forums,"Whenever you hear about ""politicians receiving money from corporations"" It almost always refers to campaign contributions rather than personal gifts.",The justification is likely personal and wide ranging across the political spectrum.,
2015,images,A black and white dog runs through the water.,Black and brown dog runs through field.,2
2012,MSRvid,A man is playing the guitar and singing.,A man is opening a package containing headphones.,0.8
2015,belief,"the point is, my dad will write all the letters and i will sign them, is that ok?",i then took a picture of him eating it and emailed it round and said he has stole it as a joke.,
2015,belief,this is actually quite amazing.,this is just this week alone.,
2015,headlines,No update on Nelson Mandela's condition,Nelson Mandela's condition improves,2.2
2015,headlines,Rudd sworn in as new Australian PM,Muslims in hiding as sectarian ...,0
2012,surprise.OnWN,(An occurance of) the preservation or management of natural resources.,the preservation and careful management of the environment and of natural resources.,4.5
2012,surprise.OnWN,Anyone who judges or finds fault with something.,someone who frequently finds fault or makes harsh and unfair judgments.,4
2013,headlines,4 French Soldiers Reported Killed in Afghanistan,British Soldier Killed In Afghanistan,1
2014,tweet-news,""": In today?s Gun Challenge editorial, Obama puts politics aside and takes action on gun reform. """,Editorial: President Obama?s Plan for Gun Reform,3.2
2016,question-question,How long should I wait between grout application and sealant?,How long should I wait for plaster to dry/cure between coats?,1
2012,SMTeuroparl,I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.,"I know that in France, the principle of the slaughter of whole herds was applied and that does not seem to be the best way to combat this phenomenon.",4.25
2015,belief,president obama would continue that trend.,i don't mean for president, i mean out of the country.
2012,MSRpar,"The tech-heavy Nasdaq composite index fell 3.99, or 0.2 percent, to 1,682.72, following a two-day win of 55.93.","The technology-laced Nasdaq Composite Index .IXIC eased 8.52 points, or 0.51 percent, to 1,670.21.",1.5
2012,MSRvid,A man plays a guitar.,A man plays the piano.,1.4
2015,answers-forums,I can't see any reason for the marinating itself to make any difference.,I suspect it depends what kind of cheese the whey came from.,
2012,MSRvid,A car backs out of a space.,A car is backing out of a blocked lane.,3
2013,OnWN,the act of creating an artistic work,the act of creating written works.,2.8
2012,SMTeuroparl,That is a shameful state of affairs when we consider that the EU itself is a champion of modernised business practice.,This is a disgrace when we think that the European Union is a champion of the modernisation of economic life.,3.6
2015,headlines,"27 dead, 22 injured in Afghanistan coal mine collapse",One injured in Methodist Church building collapse,
2015,headlines,Death toll from Egypt protests rises to 49,Death toll from Egypt violence rises to 638,3.2
2014,deft-forum,Is it legal to grow?,"Yes, it's legal to grow.",2.6
2015,answers-students,Because Bulb A was still receiving positive and negative currents.,Bulb A is still contained in a closed path with the battery.,
2015,belief,":/ after reading through the posts in this thread, isn't the main issue one where british nationals are being denied the right to come here.","leviticus 18:24, 30 reads, ""defile not ye yourselves in any of these things: for in all these the nations are defiled which i cast out before you.",
2016,postediting,This case is one of the many accusations that her.,This is one of the many accusations against her.,4
2015,belief,i wonder if he believes them now?,it's not like he needs the money.,
2014,deft-news,88 percent of the liberal democratic party supports economic sanctions. ,80 percent of the opposition democratic party supports economic sanctions.,3.8
2015,headlines,Oscar Pistorius 'accidentally fired bullet in crowded restaurant - then asked friend to take blame',Oscar Pistorius 'asked friend to take blame for restaurant shooting' ‚Äď video,
2015,headlines,EU condemns violence in Iraq,White House condemns violence in Egypt,
2012,SMTeuroparl,"Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.","Mr President, the Committee on Citizens' Freedoms and Rights, Justice and internal affairs has prepared with great care the Karamanou report.",4.6
2015,belief,"""why didn't we hear about the deficit during the bush administration?""",why didn't we ever hear about it during the bush admin when during his admin the national debt was more than doubled?,3.8
2014,headlines,Typhoon survivors raid Philippine stores,Typhoon Bopha kills 15 in S. Philippines,1.2
2015,headlines,Gunmen Surround Libya's Foreign Ministry To Push Demands,Gunmen surround Libyan foreign ministry to push demands,5
2012,SMTeuroparl,As long ago as 1996 the European Parliament came out in favour of a ban on the use of meat-and-bone meal throughout the European Union in accordance with the precautionary principle - if only.,"Since 1996, the European Parliament had decided in favour of a prohibition of the use of the bone meals in the European Union, in accordance with the precautionary principle - so only it had been listened to.",4.2
2015,belief,"i lost him when i was quite young, and like most ww ii vets, he would never discuss what he'd been through.","i told him, and he's angry and me, but he told me he didn't want me before i did it.",
2015,answers-forums,"Incorporate a 10 day cycle in your lifts... that is squat every 10 days, dead every 10, ft. squat every 10.","You have several options available to you, but it does seem like you want to really slow down your deadlift.",
2015,belief,i was in shock for about a week!,"hi jtr, no you're not alone!",
2015,answers-forums,"I know you asked for free stuff, however given that I whole-heartedly agree with Reid about how valuable your time is.",Pisca provides basic photo editing tools (crop and colour and level adjustments) as well as good EXIF tagging.,
2014,OnWN,move in a group or flock,move as a crowd or in a group.,4.4
2015,answers-students,Terminal 1 and terminal 2 are on the same side.,Terminals 1 and 2 are connected,2.83
2016,postediting,His step-daughter left for Plymouth.,Its beautiful daughter out Plymouth.,2
2014,tweet-news,RSS and Reddit co-developper Aaron Swartz commits suicide,Online activist Aaron Swartz commits suicide,3.4
2014,headlines,Facebook earnings jump 63% as mobile ads accelerate,Facebook profits jump as user base expands,3.4
2015,images,A man steers a blue boat past brightly colored houses.,a man driving a blue boat passes by some colorful houses.,5
2012,SMTeuroparl,"These objectives, the main one and the secondary ones, will be the touchstone by which the concrete proposals submitted by the Commission must be judged.","These objectives, the primary objective and secondary objectives, will be the yardstick for judging the concrete proposals put forward by the Commission.",5
2012,MSRvid,A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.,3
2015,headlines,Search resumes for Malaysia jet,Search Resumes for Missing Malaysian Jet,
2015,belief,and of course the poppy propaganda.,and encourage me to do so.),
2013,headlines,Asian stocks rise after Greek vote eases fears,Oil rises after Greek election result,1.4
2016,answer-answer,You are on the right path.,You're right on about the sample definition.,0
2014,deft-news,executive director of the arms control association in washington daryl kimball stated that-- the iaea report is 1 in a series of bad signs. ,executive director of the arms control association in washington daryl kimball stated the israeli document could affect the debate over india.,3.6
2012,MSRpar,"In January 2000, notebooks represented less than 25 percent of sales volume.","That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.",4
2015,headlines,Explosion in a Muslim Brotherhood leader's farm in Egypt kills 4,Egyptian court sentences Muslim Brotherhood leader to life in prison,
2015,belief,computers can only be as smart as whomever is programming them.,you're hearing only what you want to hear and imagining the rest.,
2015,belief,most of the middle east's east coast has a very high number of iranian origin citizens.,cops above the law and criminals glorified over law abiding citizens.,
2015,answers-students,The bulb must be in a closed pathway containing the battery,If a bulb and a switch are in the same path the switch affects the bulb,
2013,headlines,Residents near Gaza instructed to stay near shelter,Best’s great day brings West Indies cheer,0
2015,answers-students,because there is a gap in bulb b,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",
2012,surprise.OnWN,abstain from eating or from certain foods,abstain from eating.,4
